自用拼音	中古拼音(polyhedron 版)
ŋi̍t	ngit
hǐn	hinx
hìn	hinh
hi̍t	hit
ȝīn	qin
ȝi̍t	qit
ṭüīn	tryn
ṭüi̍t	tryt
ṭhüīn	thryn
ṭhüǐn	thrynx
ṭhüi̍t	thryt
ḍüīn	dryn
ḍüi̍t	dryt
tšüi̍t	cryt
šüi̍t	sryt
küīn	kyn
khüīn	khyn
khüǐn	khynx
güǐn	gynx
ȝüīn	qyn
üīn	yn
üǐn	ynx
üi̍t	yt
tšīn	crin
tši̍t	crit
džīn	zrin
dži̍t	zrit
šīn	srin
ši̍t	srit
püūn	pyon
püǔn	pyonx
püùn	pyonh
püu̍t	pyot
phüūn	phyon
phüǔn	phyonx
phüùn	phyonh
phüu̍t	phyot
büūn	byon
büǔn	byonx
büùn	byonh
büu̍t	byot
müūn	myon
müǔn	myonx
müùn	myonh
müu̍t	myot
küūn	kyon
küùn	kyonh
küu̍t	kyot
khüǔn	khyonx
khüu̍t	khyot
güūn	gyon
güùn	gyonh
güu̍t	gyot
ŋüǔn	ngyonx
ŋüu̍t	ngyot
hüūn	hyon
hüùn	hyonh
hüu̍t	hyot
ȝüūn	qyon
ȝüǔn	qyonx
ȝüùn	qyonh
ȝüu̍t	qyot
üūn	yon
üǔn	yonx
üùn	yonh
üu̍t	yot
tšiə̌n	crionx
tšhiə̌n	chrionx
kiə̄n	kion
kiə̌n	kionx
kiə̀n	kionh
kiə̍t	kiot
khiə̌n	khionx
khiə̍t	khiot
giə̄n	gion
giə̌n	gionx
giə̀n	gionh
giə̍t	giot
ŋiə̄n	ngion
ŋiə̌n	ngionx
ŋiə̀n	ngionh
ŋiə̍t	ngiot
hiə̄n	hion
hiə̌n	hionx
hiə̀n	hionh
hiə̍t	hiot
ȝiə̄n	qion
ȝiə̌n	qionx
ȝiə̀n	qionh
puōn	puon
puǒn	puonx
puòn	puonh
phuōn	phuon
phuǒn	phuonx
phuòn	phuonh
phuo̍t	phuot
buōn	buon
buǒn	buonx
buòn	buonh
buo̍t	buot
muōn	muon
muǒn	muonx
muòn	muonh
muo̍t	muot
tuōn	tuon
tuòn	tuonh
tuo̍t	tuot
thuōn	thuon
thuǒn	thuonx
thuo̍t	thuot
duōn	duon
duǒn	duonx
duòn	duonh
duo̍t	duot
nuōn	nuon
nuǒn	nuonx
nuòn	nuonh
nuo̍t	nuot
luōn	luon
luǒn	luonx
luòn	luonh
luo̍t	luot
tsuōn	cuon
tsuǒn	cuonx
tsuòn	cuonh
tsuo̍t	cuot
tshuōn	chuon
tshuǒn	chuonx
tshuòn	chuonh
tshuo̍t	chuot
dzuōn	zuon
dzuǒn	zuonx
dzuòn	zuonh
dzuo̍t	zuot
suōn	suon
suǒn	suonx
suòn	suonh
suo̍t	suot
kuōn	kuon
kuǒn	kuonx
kuòn	kuonh
kuo̍t	kuot
khuōn	khuon
khuǒn	khuonx
khuòn	khuonh
khuo̍t	khuot
ŋuōn	nguon
ŋuòn	nguonh
ŋuo̍t	nguot
huōn	huon
huǒn	huonx
huòn	huonh
huo̍t	huot
ĥuōn	ghuon
ĥuǒn	ghuonx
ĥuòn	ghuonh
ĥuo̍t	ghuot
ȝuōn	quon
ȝuǒn	quonx
ȝuòn	quonh
ȝuo̍t	quot
thōn	thon
kōn	kon
kǒn	konx
kòn	konh
khǒn	khonx
ŋōn	ngon
ŋòn	ngonh
ĥōn	ghon
ĥǒn	ghonx
ĥòn	ghonh
ĥo̍t	ghot
ȝōn	qon
ȝòn	qonh
kiōn	kian
kiǒn	kianx
kiòn	kianh
kio̍t	kiat
khiōn	khian
khiǒn	khianx
giōn	gian
giǒn	gianx
giòn	gianh
gio̍t	giat
ŋiōn	ngian
ŋiǒn	ngianx
ŋiòn	ngianh
ŋio̍t	ngiat
hiōn	hian
hiǒn	hianx
hiòn	hianh
hio̍t	hiat
ȝiōn	qian
ȝiǒn	qianx
ȝiòn	qianh
ȝio̍t	qiat
püōn	pyan
püǒn	pyanx
püòn	pyanh
püo̍t	pyat
phüōn	phyan
phüòn	phyanh
phüo̍t	phyat
büōn	byan
büǒn	byanx
büòn	byanh
büo̍t	byat
müōn	myan
müǒn	myanx
müòn	myanh
müo̍t	myat
tšhüòn	chryanh
küòn	kyanh
küo̍t	kyat
khüǒn	khyanx
khüòn	khyanh
khüo̍t	khyat
güǒn	gyanx
güòn	gyanh
güo̍t	gyat
ŋüōn	ngyan
ŋüǒn	ngyanx
ŋüòn	ngyanh
ŋüo̍t	ngyat
hüōn	hyan
hüǒn	hyanx
hüòn	hyanh
hüo̍t	hyat
ȝüōn	qyan
ȝüǒn	qyanx
ȝüòn	qyanh
ȝüo̍t	qyat
üōn	yan
üǒn	yanx
üòn	yanh
üo̍t	yat
pān	puan
pǎn	puanx
pàn	puanh
pa̍t	puat
phān	phuan
phǎn	phuanx
phàn	phuanh
pha̍t	phuat
bān	buan
bǎn	buanx
bàn	buanh
ba̍t	buat
mān	muan
mǎn	muanx
màn	muanh
ma̍t	muat
tān	tan
tǎn	tanx
tàn	tanh
ta̍t	tat
thān	than
thǎn	thanx
thàn	thanh
tha̍t	that
dān	dan
dǎn	danx
dàn	danh
da̍t	dat
nān	nan
nǎn	nanx
nàn	nanh
na̍t	nat
lān	lan
lǎn	lanx
làn	lanh
la̍t	lat
tsǎn	canx
tsàn	canh
tsa̍t	cat
tshān	chan
tshàn	chanh
tsha̍t	chat
dzān	zan
dzǎn	zanx
dzàn	zanh
dza̍t	zat
sān	san
sǎn	sanx
sàn	sanh
sa̍t	sat
kān	kan
kǎn	kanx
kàn	kanh
ka̍t	kat
khān	khan
khǎn	khanx
khàn	khanh
kha̍t	khat
ŋān	ngan
ŋàn	nganh
ŋa̍t	ngat
hān	han
hǎn	hanx
hàn	hanh
ha̍t	hat
ĥān	ghan
ĥǎn	ghanx
ĥàn	ghanh
ĥa̍t	ghat
ȝān	qan
ȝàn	qanh
ȝa̍t	qat
tuān	tuan
tuǎn	tuanx
tuàn	tuanh
tua̍t	tuat
thuān	thuan
thuǎn	thuanx
thuàn	thuanh
thua̍t	thuat
duān	duan
duǎn	duanx
duàn	duanh
dua̍t	duat
nuān	nuan
nuǎn	nuanx
nuàn	nuanh
luān	luan
luǎn	luanx
luàn	luanh
lua̍t	luat
tsuān	cuan
tsuǎn	cuanx
tsuàn	cuanh
tsua̍t	cuat
tshuàn	chuanh
tshua̍t	chuat
dzuān	zuan
dzuàn	zuanh
dzua̍t	zuat
suān	suan
suǎn	suanx
suàn	suanh
zuǎn	zsuanx
kuān	kuan
kuǎn	kuanx
kuàn	kuanh
kua̍t	kuat
khuān	khuan
khuǎn	khuanx
khuàn	khuanh
khua̍t	khuat
ŋuān	nguan
ŋuàn	nguanh
ŋua̍t	nguat
huān	huan
huàn	huanh
hua̍t	huat
ĥuān	ghuan
ĥuǎn	ghuanx
ĥuàn	ghuanh
ĥua̍t	ghuat
ȝuān	quan
ȝuǎn	quanx
ȝuàn	quanh
ȝua̍t	quat
jia̍t	jat
pǣn	pran
pæ̌n	pranx
pæ̍t	prat
phǣn	phran
phæ̌n	phranx
phæ̀n	phranh
bæ̌n	branx
mǣn	mran
mæ̌n	mranx
mæ̀n	mranh
mæ̍t	mrat
ṭæ̍t	trat
ṭhæ̀n	thranh
ṭhæ̍t	thrat
ṇæ̌n	nranx
tšæ̌n	cranx
tšhæ̌n	chranx
tšhæ̀n	chranh
tšhæ̍t	chrat
džæ̌n	zranx
džæ̀n	zranh
džæ̍t	zrat
šǣn	sran
šæ̌n	sranx
šæ̀n	sranh
kǣn	kran
kæ̀n	kranh
kæ̍t	krat
khǣn	khran
khæ̍t	khrat
ŋǣn	ngran
ŋæ̌n	ngranx
ŋæ̀n	ngranh
ŋæ̍t	ngrat
hæ̍t	hrat
ĥæ̌n	ghranx
ĥæ̀n	ghranh
ĥæ̍t	ghrat
ȝæ̀n	qranh
ȝæ̍t	qrat
ṭuæ̍t	truat
ṭhuæ̍t	thruat
ṇuǣn	nruan
ṇuæ̀n	nruanh
ṇuæ̍t	nruat
tšuǣn	cruan
tšhuæ̀n	chruanh
tšhuæ̍t	chruat
džuæ̌n	zruanx
šuǣn	sruan
šuæ̀n	sruanh
šuæ̍t	sruat
kuǣn	kruan
kuæ̀n	kruanh
kuæ̍t	kruat
ŋuǣn	ngruan
ŋuæ̀n	ngruanh
ŋuæ̍t	ngruat
ĥuǣn	ghruan
ĥuæ̌n	ghruanx
ĥuæ̀n	ghruanh
ĥuæ̍t	ghruat
ȝuǣn	qruan
ȝuæ̌n	qruanx
ȝuæ̀n	qruanh
ńiæ̍t	njrat
pɛ̄n	pren
pɛ̀n	prenh
pɛ̍t	pret
phɛ̀n	phrenh
phɛ̍t	phret
bɛ̀n	brenh
bɛ̍t	bret
mɛ̌n	mrenx
mɛ̀n	mrenh
mɛ̍t	mret
lɛ̄n	lren
ṭɛ̄n	tren
ḍɛ̄n	dren
ḍɛ̀n	drenh
ṇɛ̄n	nren
ṇɛ̍t	nret
tšɛ̌n	crenx
tšɛ̍t	cret
tšhɛ̌n	chrenx
tšhɛ̍t	chret
džɛ̄n	zren
džɛ̌n	zrenx
šɛ̄n	sren
šɛ̌n	srenx
šɛ̍t	sret
kɛ̄n	kren
kɛ̌n	krenx
kɛ̀n	krenh
kɛ̍t	kret
khɛ̄n	khren
khɛ̌n	khrenx
khɛ̍t	khret
ŋɛ̄n	ngren
ŋɛ̌n	ngrenx
hɛ̄n	hren
ĥɛ̄n	ghren
ĥɛ̌n	ghrenx
ĥɛ̀n	ghrenh
ĥɛ̍t	ghret
ȝɛ̄n	qren
ȝɛ̍t	qret
luɛ̄n	lruen
ṭuɛ̍t	truet
ḍuɛ̄n	druen
ṇuɛ̍t	nruet
tšuɛ̍t	cruet
tšhuɛ̌n	chruenx
kuɛ̄n	kruen
kuɛ̀n	kruenh
kuɛ̍t	kruet
khuɛ̍t	khruet
guɛ̄n	gruen
ŋuɛ̍t	ngruet
huɛ̍t	hruet
ĥuɛ̄n	ghruen
ĥuɛ̀n	ghruenh
ĥuɛ̍t	ghruet
ȝuɛ̄n	qruen
ȝuɛ̍t	qruet
tśhiɛ̄n	chjren
pēn	pen
pěn	penx
pèn	penh
pe̍t	pet
phèn	phenh
phe̍t	phet
bēn	ben
běn	benx
be̍t	bet
mēn	men
měn	menx
mèn	menh
me̍t	met
tēn	ten
těn	tenx
tèn	tenh
te̍t	tet
thēn	then
thěn	thenx
thèn	thenh
the̍t	thet
dēn	den
děn	denx
dèn	denh
de̍t	det
nēn	nen
něn	nenx
nèn	nenh
ne̍t	net
lēn	len
lèn	lenh
le̍t	let
tsēn	cen
tsèn	cenh
tse̍t	cet
tshēn	chen
tshèn	chenh
tshe̍t	chet
dzēn	zen
dzèn	zenh
dze̍t	zet
sēn	sen
sěn	senx
sèn	senh
se̍t	set
kēn	ken
kěn	kenx
kèn	kenh
ke̍t	ket
khēn	khen
khěn	khenx
khèn	khenh
khe̍t	khet
ŋēn	ngen
ŋěn	ngenx
ŋèn	ngenh
ŋe̍t	nget
hēn	hen
hěn	henx
hèn	henh
he̍t	het
ĥēn	ghen
ĥěn	ghenx
ĥèn	ghenh
ĥe̍t	ghet
ȝēn	qen
ȝěn	qenx
ȝèn	qenh
ȝe̍t	qet
džuēn	zruen
kuēn	kuen
kuěn	kuenx
kuèn	kuenh
kue̍t	kuet
khuěn	khuenx
khue̍t	khuet
huēn	huen
huèn	huenh
hue̍t	huet
ĥuēn	ghuen
ĥuěn	ghuenx
ĥuèn	ghuenh
ĥue̍t	ghuet
ȝuēn	quen
ȝuèn	quenh
ȝue̍t	quet
pьiēn	pjen
pьiěn	pjenx
pьie̍t	pjet
phьiēn	phjen
phьièn	phjenh
phьie̍t	phjet
bьiēn	bjen
bьiěn	bjenx
bьièn	bjenh
mьiēn	mjen
mьiěn	mjenx
mьièn	mjenh
mьie̍t	mjet
lьiēn	lien
lьiěn	lienx
lьièn	lienh
lьie̍t	liet
tsьiēn	cien
tsьiěn	cienx
tsьièn	cienh
tsьie̍t	ciet
tshьiēn	chien
tshьiěn	chienx
dzьiēn	zien
dzьiěn	zienx
dzьièn	zienh
sьiēn	sien
sьiěn	sienx
sьièn	sienh
sьie̍t	siet
zьiēn	zsien
zьiěn	zsienx
zьièn	zsienh
tśьiēn	cjen
tśьiěn	cjenx
tśьièn	cjenh
tśьie̍t	cjet
tśhьiēn	chjen
tśhьiěn	chjenx
tśhьièn	chjenh
tśhьie̍t	chjet
dźьiēn	zjen
dźьiěn	zjenx
dźьièn	zjenh
dźьie̍t	zjet
ńьiēn	njen
ńьiěn	njenx
ńьie̍t	njet
śьiēn	sjen
śьiěn	sjenx
śьièn	sjenh
śьie̍t	sjet
źьie̍t	zsjet
kьiēn	kjen
kьie̍t	kjet
khьiěn	khjenx
khьièn	khjenh
ȝьièn	qjenh
jьiēn	jen
jьiěn	jenx
jьièn	jenh
jьie̍t	jet
lьüēn	lyen
lьüěn	lyenx
lьüèn	lyenh
lьüe̍t	lyet
tsьüēn	cyen
tsьüěn	cyenx
tsьüe̍t	cyet
tshьüēn	chyen
tshьüèn	chyenh
tshьüe̍t	chyet
dzьüēn	zyen
dzьüěn	zyenx
dzьüe̍t	zyet
sьüēn	syen
sьüěn	syenx
sьüèn	syenh
sьüe̍t	syet
zьüēn	zsyen
zьüèn	zsyenh
zьüe̍t	zsyet
tśьüēn	cjyen
tśьüěn	cjyenx
tśьüèn	cjyenh
tśьüe̍t	cjyet
tśhьüēn	chjyen
tśhьüěn	chjyenx
tśhьüèn	chjyenh
tśhьüe̍t	chjyet
dźьüēn	zjyen
dźьüěn	zjyenx
dźьüèn	zjyenh
dźьüe̍t	zjyet
ńьüēn	njyen
ńьüěn	njyenx
ńьüèn	njyenh
ńьüe̍t	njyet
śьüe̍t	sjyet
źьüēn	zsjyen
kьüèn	kjyenh
khьüe̍t	khjyet
gьüěn	gjyenx
hьüēn	hjyen
hьüěn	hjyenx
hьüe̍t	hjyet
ȝьüēn	qjyen
ȝьüe̍t	qjyet
jьüēn	jyen
jьüěn	jyenx
jьüèn	jyenh
jьüe̍t	jyet
piěn	pienx
pièn	pienh
pie̍t	piet
phiěn	phienx
biěn	bienx
bièn	bienh
bie̍t	biet
miěn	mienx
ṭiēn	trien
ṭiěn	trienx
ṭièn	trienh
ṭie̍t	triet
ṭhiēn	thrien
ṭhiěn	thrienx
ṭhie̍t	thriet
ḍiēn	drien
ḍiěn	drienx
ḍièn	drienh
ḍie̍t	driet
ṇiěn	nrienx
ṇièn	nrienh
džiēn	zrien
džiěn	zrienx
džie̍t	zriet
šie̍t	sriet
kiěn	kienx
khiēn	khien
khie̍t	khiet
giēn	gien
giěn	gienx
gie̍t	giet
ŋiěn	ngienx
ŋièn	ngienh
ŋie̍t	ngiet
hiēn	hien
hie̍t	hiet
ȝiēn	qien
ȝiěn	qienx
ȝie̍t	qiet
iēn	ien
ṭüēn	tryen
ṭüěn	tryenx
ṭüèn	tryenh
ṭüe̍t	tryet
ṭhüēn	thryen
ṭhüèn	thryenh
ṭhüe̍t	thryet
ḍüēn	dryen
ḍüěn	dryenx
ḍüèn	dryenh
ṇüe̍t	nryet
tšüēn	cryen
tšüèn	cryenh
tšüe̍t	cryet
tšhüe̍t	chryet
džüěn	zryenx
džüèn	zryenh
šüēn	sryen
šüèn	sryenh
šüe̍t	sryet
küēn	kyen
küěn	kyenx
küèn	kyenh
küe̍t	kyet
khüēn	khyen
khüèn	khyenh
güēn	gyen
güěn	gyenx
güèn	gyenh
ȝüēn	qyen
ȝüe̍t	qyet
üēn	yen
üèn	yenh
tēu	teu
těu	teux
tèu	teuh
thēu	theu
thěu	theux
thèu	theuh
dēu	deu
děu	deux
dèu	deuh
něu	neux
nèu	neuh
lēu	leu
lěu	leux
lèu	leuh
tsěu	ceux
sēu	seu
sěu	seux
sèu	seuh
kēu	keu
kěu	keux
kèu	keuh
khēu	kheu
khěu	kheux
khèu	kheuh
ŋēu	ngeu
ŋèu	ngeuh
hēu	heu
hěu	heux
hèu	heuh
ĥěu	gheux
ȝēu	qeu
ȝěu	qeux
ȝèu	qeuh
pьiēu	pjeu
pьiěu	pjeux
phьiēu	phjeu
phьiěu	phjeux
phьièu	phjeuh
bьiēu	bjeu
bьiěu	bjeux
bьièu	bjeuh
mьiēu	mjeu
mьiěu	mjeux
mьièu	mjeuh
lьiēu	lieu
lьiěu	lieux
lьièu	lieuh
tsьiēu	cieu
tsьiěu	cieux
tsьièu	cieuh
tshьiēu	chieu
tshьiěu	chieux
tshьièu	chieuh
dzьiēu	zieu
dzьièu	zieuh
sьiēu	sieu
sьiěu	sieux
sьièu	sieuh
tśьiēu	cjeu
tśьiěu	cjeux
tśьièu	cjeuh
tśhьiēu	chjeu
tśhьiěu	chjeux
dźьiēu	zjeu
dźьiěu	zjeux
dźьièu	zjeuh
ńьiēu	njeu
ńьiěu	njeux
ńьièu	njeuh
śьiēu	sjeu
śьiěu	sjeux
śьièu	sjeuh
khьiēu	khjeu
gьiēu	gjeu
gьièu	gjeuh
ȝьiēu	qjeu
ȝьiěu	qjeux
ȝьièu	qjeuh
jьiēu	jeu
jьiěu	jeux
jьièu	jeuh
piēu	pieu
piěu	pieux
pièu	pieuh
phiěu	phieux
biěu	bieux
miēu	mieu
mièu	mieuh
ṭiēu	trieu
ṭhiēu	thrieu
ṭhiěu	thrieux
ṭhièu	thrieuh
ḍiēu	drieu
ḍiěu	drieux
ḍièu	drieuh
kiēu	kieu
kiěu	kieux
khiēu	khieu
khièu	khieuh
giēu	gieu
giěu	gieux
gièu	gieuh
ŋièu	ngieuh
hiēu	hieu
ȝiēu	qieu
ȝiěu	qieux
iēu	ieu
pǣu	prau
pæ̌u	praux
pæ̀u	prauh
phǣu	phrau
phæ̀u	phrauh
bǣu	brau
bæ̌u	braux
bæ̀u	brauh
mǣu	mrau
mæ̌u	mraux
mæ̀u	mrauh
lǣu	lrau
ṭǣu	trau
ṭæ̌u	traux
ṭæ̀u	trauh
ṭhǣu	thrau
ṭhæ̀u	thrauh
ḍǣu	drau
ḍæ̀u	drauh
ṇǣu	nrau
ṇæ̌u	nraux
ṇæ̀u	nrauh
tšǣu	crau
tšæ̌u	craux
tšæ̀u	crauh
tšhǣu	chrau
tšhæ̌u	chraux
tšhæ̀u	chrauh
džǣu	zrau
džæ̌u	zraux
džæ̀u	zrauh
šǣu	srau
šæ̌u	sraux
šæ̀u	srauh
kǣu	krau
kæ̌u	kraux
kæ̀u	krauh
khǣu	khrau
khæ̌u	khraux
khæ̀u	khrauh
ŋǣu	ngrau
ŋæ̌u	ngraux
ŋæ̀u	ngrauh
hǣu	hrau
hæ̀u	hrauh
ĥǣu	ghrau
ĥæ̌u	ghraux
ĥæ̀u	ghrauh
ȝǣu	qrau
ȝæ̌u	qraux
ȝæ̀u	qrauh
pāu	pau
pǎu	paux
pàu	pauh
phāu	phau
bāu	bau
bǎu	baux
bàu	bauh
māu	mau
mǎu	maux
màu	mauh
tāu	tau
tǎu	taux
tàu	tauh
thāu	thau
thǎu	thaux
dāu	dau
dǎu	daux
dàu	dauh
nāu	nau
nǎu	naux
nàu	nauh
lāu	lau
lǎu	laux
làu	lauh
tsāu	cau
tsǎu	caux
tsàu	cauh
tshāu	chau
tshǎu	chaux
tshàu	chauh
dzāu	zau
dzǎu	zaux
dzàu	zauh
sāu	sau
sǎu	saux
sàu	sauh
kāu	kau
kǎu	kaux
kàu	kauh
khāu	khau
khǎu	khaux
khàu	khauh
ŋāu	ngau
ŋǎu	ngaux
ŋàu	ngauh
hāu	hau
hǎu	haux
hàu	hauh
ĥāu	ghau
ĥǎu	ghaux
ĥàu	ghauh
ȝāu	qau
ȝǎu	qaux
ȝàu	qauh
pā	pua
pǎ	puax
pà	puah
phā	phua
phǎ	phuax
phà	phuah
bā	bua
bǎ	buax
bà	buah
mā	mua
mǎ	muax
mà	muah
tā	ta
tǎ	tax
tà	tah
thā	tha
thǎ	thax
thà	thah
dā	da
dǎ	dax
dà	dah
nā	na
nǎ	nax
nà	nah
lā	la
lǎ	lax
là	lah
tsǎ	cax
tsà	cah
tshā	cha
tshǎ	chax
tshà	chah
dzā	za
sā	sa
sǎ	sax
sà	sah
kā	ka
kǎ	kax
kà	kah
khā	kha
khǎ	khax
khà	khah
ŋā	nga
ŋǎ	ngax
ŋà	ngah
hā	ha
hǎ	hax
hà	hah
ĥā	gha
ĥǎ	ghax
ĥà	ghah
ȝā	qa
ȝǎ	qax
ȝà	qah
tuā	tua
tuǎ	tuax
tuà	tuah
thuā	thua
thuǎ	thuax
thuà	thuah
duā	dua
duǎ	duax
duà	duah
nuā	nua
nuǎ	nuax
nuà	nuah
luā	lua
luǎ	luax
luà	luah
tsuà	cuah
tshuā	chua
tshuǎ	chuax
tshuà	chuah
dzuā	zua
dzuǎ	zuax
dzuà	zuah
suā	sua
suǎ	suax
suà	suah
kuā	kua
kuǎ	kuax
kuà	kuah
khuā	khua
khuǎ	khuax
khuà	khuah
ŋuā	ngua
ŋuǎ	nguax
ŋuà	nguah
huǎ	huax
huà	huah
ĥuā	ghua
ĥuǎ	ghuax
ĥuà	ghuah
ȝuā	qua
ȝuǎ	quax
ȝuà	quah
kiā	kia
khiā	khia
giā	gia
lüā	lya
tsüā	cya
tshüā	chya
khüā	khya
güā	gya
hüā	hya
ȝüā	qya
pǣ	pra
pæ̌	prax
pæ̀	prah
phǣ	phra
phæ̀	phrah
bǣ	bra
bæ̌	brax
bæ̀	brah
mǣ	mra
mæ̌	mrax
mæ̀	mrah
læ̌	lrax
ṭǣ	tra
ṭæ̌	trax
ṭæ̀	trah
ṭhǣ	thra
ṭhæ̌	thrax
ṭhæ̀	thrah
ḍǣ	dra
ḍæ̀	drah
ṇǣ	nra
ṇæ̌	nrax
ṇæ̀	nrah
tšǣ	cra
tšæ̌	crax
tšæ̀	crah
tšhǣ	chra
džǣ	zra
džæ̌	zrax
džæ̀	zrah
šǣ	sra
šæ̌	srax
šæ̀	srah
kǣ	kra
kæ̌	krax
kæ̀	krah
khǣ	khra
khæ̌	khrax
khæ̀	khrah
ŋǣ	ngra
ŋæ̌	ngrax
ŋæ̀	ngrah
hǣ	hra
hæ̌	hrax
hæ̀	hrah
ĥǣ	ghra
ĥæ̌	ghrax
ĥæ̀	ghrah
ȝǣ	qra
ȝæ̌	qrax
ȝæ̀	qrah
ṭuǣ	trua
ṭhuæ̌	thruax
tšuǣ	crua
tšuæ̌	cruax
tšhuæ̌	chruax
šuæ̌	sruax
šuæ̀	sruah
kuǣ	krua
kuæ̌	kruax
kuæ̀	kruah
khuǣ	khrua
khuæ̌	khruax
khuæ̀	khruah
ŋuǣ	ngrua
ŋuæ̌	ngruax
ŋuæ̀	ngruah
huǣ	hrua
huæ̀	hruah
ĥuǣ	ghrua
ĥuæ̌	ghruax
ĥuæ̀	ghruah
ȝuǣ	qrua
ȝuæ̀	qruah
miæ̌	miax
ṭiǣ	tria
tsiǣ	cia
tsiæ̌	ciax
tsiæ̀	ciah
tshiæ̌	chiax
tshiæ̀	chiah
dziǣ	zia
dziæ̀	ziah
siǣ	sia
siæ̌	siax
siæ̀	siah
ziǣ	zsia
ziæ̌	zsiax
ziæ̀	zsiah
tśiǣ	cja
tśiæ̌	cjax
tśiæ̀	cjah
tśhiǣ	chja
tśhiæ̌	chjax
tśhiæ̀	chjah
dźiǣ	zja
dźiæ̌	zjax
ńiǣ	nja
ńiæ̌	njax
śiǣ	sja
śiæ̌	sjax
śiæ̀	sjah
źiǣ	zsja
źiæ̀	zsjah
jiǣ	ja
jiæ̌	jax
jiæ̀	jah
liāŋ	liang
liǎŋ	liangx
liàŋ	liangh
lia̍k	liak
ṭiāŋ	triang
ṭiǎŋ	triangx
ṭiàŋ	triangh
ṭia̍k	triak
ṭhiāŋ	thriang
ṭhiǎŋ	thriangx
ṭhiàŋ	thriangh
ṭhia̍k	thriak
ḍiāŋ	driang
ḍiǎŋ	driangx
ḍiàŋ	driangh
ḍia̍k	driak
ṇiāŋ	nriang
ṇiàŋ	nriangh
ṇia̍k	nriak
tsiāŋ	ciang
tsiǎŋ	ciangx
tsiàŋ	ciangh
tsia̍k	ciak
tshiāŋ	chiang
tshiǎŋ	chiangx
tshiàŋ	chiangh
tshia̍k	chiak
dziāŋ	ziang
dziàŋ	ziangh
dzia̍k	ziak
siāŋ	siang
siǎŋ	siangx
siàŋ	siangh
sia̍k	siak
ziāŋ	zsiang
ziǎŋ	zsiangx
tšiāŋ	criang
tšiàŋ	criangh
tšia̍k	criak
tšhiāŋ	chriang
tšhiǎŋ	chriangx
tšhiàŋ	chriangh
džiāŋ	zriang
džiàŋ	zriangh
šiāŋ	sriang
šiǎŋ	sriangx
tśiāŋ	cjang
tśiǎŋ	cjangx
tśiàŋ	cjangh
tśia̍k	cjak
tśhiāŋ	chjang
tśhiǎŋ	chjangx
tśhiàŋ	chjangh
tśhia̍k	chjak
dźiāŋ	zjang
dźiǎŋ	zjangx
dźiàŋ	zjangh
dźia̍k	zjak
ńiāŋ	njang
ńiǎŋ	njangx
ńiàŋ	njangh
ńia̍k	njak
śiāŋ	sjang
śiǎŋ	sjangx
śiàŋ	sjangh
śia̍k	sjak
kiāŋ	kiang
kiǎŋ	kiangx
kiàŋ	kiangh
kia̍k	kiak
khiāŋ	khiang
khiàŋ	khiangh
khia̍k	khiak
giāŋ	giang
giǎŋ	giangx
giàŋ	giangh
gia̍k	giak
ŋiǎŋ	ngiangx
ŋiàŋ	ngiangh
ŋia̍k	ngiak
hiāŋ	hiang
hiǎŋ	hiangx
hiàŋ	hiangh
hia̍k	hiak
ȝiāŋ	qiang
ȝiǎŋ	qiangx
ȝiàŋ	qiangh
ȝia̍k	qiak
jiāŋ	jang
jiǎŋ	jangx
jiàŋ	jangh
jia̍k	jak
püāŋ	pyang
püǎŋ	pyangx
püàŋ	pyangh
phüāŋ	phyang
phüǎŋ	phyangx
phüàŋ	phyangh
phüa̍k	phyak
büāŋ	byang
büǎŋ	byangx
büàŋ	byangh
büa̍k	byak
müāŋ	myang
müǎŋ	myangx
müàŋ	myangh
küǎŋ	kyangx
küàŋ	kyangh
küa̍k	kyak
khüāŋ	khyang
khüa̍k	khyak
güāŋ	gyang
güǎŋ	gyangx
güàŋ	gyangh
güa̍k	gyak
hüǎŋ	hyangx
hüàŋ	hyangh
hüa̍k	hyak
ȝüǎŋ	qyangx
ȝüa̍k	qyak
üāŋ	yang
üǎŋ	yangx
üàŋ	yangh
üa̍k	yak
pāŋ	pang
pǎŋ	pangx
pàŋ	pangh
pa̍k	pak
phāŋ	phang
phǎŋ	phangx
pha̍k	phak
bāŋ	bang
bàŋ	bangh
ba̍k	bak
māŋ	mang
mǎŋ	mangx
màŋ	mangh
ma̍k	mak
tāŋ	tang
tǎŋ	tangx
tàŋ	tangh
thāŋ	thang
thǎŋ	thangx
thàŋ	thangh
tha̍k	thak
dāŋ	dang
dǎŋ	dangx
dàŋ	dangh
da̍k	dak
nāŋ	nang
nǎŋ	nangx
nàŋ	nangh
na̍k	nak
lāŋ	lang
lǎŋ	langx
làŋ	langh
la̍k	lak
tsāŋ	cang
tsǎŋ	cangx
tsàŋ	cangh
tsa̍k	cak
tshāŋ	chang
tshǎŋ	changx
tsha̍k	chak
dzāŋ	zang
dzǎŋ	zangx
dzàŋ	zangh
dza̍k	zak
sāŋ	sang
sǎŋ	sangx
sàŋ	sangh
sa̍k	sak
kāŋ	kang
kǎŋ	kangx
kàŋ	kangh
ka̍k	kak
khāŋ	khang
khǎŋ	khangx
khàŋ	khangh
kha̍k	khak
ŋāŋ	ngang
ŋǎŋ	ngangx
ŋàŋ	ngangh
ŋa̍k	ngak
hāŋ	hang
hǎŋ	hangx
ha̍k	hak
